NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
duduk,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178,184,176,253,108,38,323,109,251,182,173
berdiri,250,1000,-1,-1,-1,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178,184,180,217,145,109,250,144,216,182,173
berdirimiring,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178,172,166,229,134, 113,247,157,199,165,159
langkahkanann,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178,172,166,228,118, 113,247,157,184,165,163
turun,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178,172,163,229,130, 113,228,157,178,165,161
tegak,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178,183,179,214,132, 113,246,142,202,179,177
ganti,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178, 205, 197, 202, 139, 117, 243, 138, 206, 200, 197
ganti,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178, 209, 197,227, 158,100, 243,148, 221, 203, 197
ganti,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178, 205, 197, 221, 158,110, 243,149, 223, 202, 197
ganti,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178, 185, 175, 221, 158, 117, 243, 158, 221, 185, 175
tegak ganti miring,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178, 170, 166, 221, 158, 117, 243, 158, 221,165, 161
langkahkanann,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178,170,166,228,118, 113,247,157,184,165,163
turun,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178,170,163,229,130, 113,228,157,178,165,161
tegak,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178,183,179,214,132, 113,246,142,202,179,177
ganti,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178, 205, 197, 202, 139, 117, 243, 138, 206, 200, 197
ganti,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178, 209, 197,227, 158,100, 243,148, 221, 203, 197
ganti,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178, 205, 197, 221, 158,110, 243,149, 223, 202, 197
ganti,250,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,178, 185, 175, 221, 158, 117, 243, 158, 221, 185, 175
