NAME,T_XL320#0,T_XL320#1,T_XL320#2,T_XL320#3,T_XL320#4,T_XL320#5,T_XL320#6,T_XL320#7,T_XL320#8,T_XL320#9,T_XL320#10,T_XL320#11,T_XL320#12,T_XM430#13,T_XM430#14,T_XM430#15,T_XM430#16,T_XM430#17,T_XM430#18,T_XM430#19,T_XM430#20,T_XM430#21,T_XM430#22,T_XM430#23,T_XM430#24,T_XM430#25,T_XM430#26,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
olegoleg,200,200,200,200,200,200,200,200,200,350,200,200,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,153,145,143,160,146,156,147,139,152,158,149,143,158,185,178,179,181,176,175,249,107,38,322,107,249,176,175
olegoleg,200,200,200,200,200,200,200,200,200,350,200,200,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,153,146,143,237,76,176,125,87,252,10,148,150,218,316,106,179,182,176,175,249,107,38,322,107,249,176,175
olegoleg2--,200,200,200,200,200,200,200,200,200,350,200,200,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,170,140,136,246,76,175,134,88,242,0,237,197,228,316,104,179,182,176,175,249,107,38,322,107,249,176,175
olegoleg2--,200,200,200,200,200,200,200,200,200,350,200,200,225,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,147,138,139,234,77,172,137,69,244,145,300,89,85,314,98,179,182,176,175,249,107,38,322,107,249,176,175
olegoleg2,225,225,225,225,225,225,225,225,225,225,225,225,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,147,137,138,245,83,175,123,84,245,25,131,86,217,279,111,179,182,176,175,249,108,38,320,107,249,176,174
olegoleg2,225,225,225,225,225,225,225,225,225,225,235,225,225,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,136,138,140,229,87,186,103,74,228,71,207,242,86,297,93,179,182,176,175,249,107,38,322,107,249,176,175
olegoleg2,200,200,200,200,200,200,200,200,200,200,200,200,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,132,130,143,206,136,177,96,52,226,0,243,241,64,317,87,179,182,176,175,249,107,38,322,107,249,176,175
olegoleg3,200,200,200,200,200,200,200,200,200,200,200,200,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,129,121,143,181,146,193,144,60,228,31,253,105,228,278,86,179,182,176,175,249,107,38,322,107,249,176,175
olegoleg3,200,200,200,23,43,43,200,23,23,200,23,43,40,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,136,130,139,225,72,150,137,105,199,20,277,123,215,323,103,179,182,176,175,249,107,38,322,107,249,176,175
olegoleg4,100,100,100,100,100,100,100,100,100,100,200,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,103,142,155,238,103,103,127,104,233,85,130,77,221,300,113,179,182,176,175,249,107,38,322,107,249,176,175
olegoleg4,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,111,141,144,243,103,150,127,67,232,157,130,77,221,345,113,179,182,176,175,249,107,38,322,107,249,176,175
olegoleg4,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,156,140,136,237,71,175,129,75,233,0,141,191,101,320,80,179,182,176,175,249,107,38,322,107,249,176,175
olegoleg4,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,177,140,160,208,72,143,158,132,219,24,245,96,224,328,82,179,182,176,175,249,107,38,322,107,249,176,175
olegoleg5,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,158,139,138,209,96,147,155,101,228,0,219,184,253,339,116,179,182,176,175,249,108,38,320,107,249,176,174
olegoleg6,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,187,138,160,228,81,152,139,74,237,148,300,81,89,342,122,179,182,176,175,249,108,38,320,107,249,176,174
olegoleg6,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,124,141,135,237,82,131,135,98,239,57,300,107,97,345,98,179,182,176,175,249,108,38,320,107,249,176,174
olegoleg7,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,123,139,136,231,110,148,46,138,254,0,300,75,75,345,129,179,182,176,175,249,108,38,320,107,249,176,174
olegoleg7,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,123,139,136,219,106,148,39,138,245,0,206,56,133,345,134,179,182,176,175,249,108,38,320,107,249,176,174
olegoleg7,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,176,137,159,231,96,148,140,96,247,0,142,120,243,357,115,179,182,176,175,249,108,38,320,107,249,176,174
olegoleg7,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,156,147,147,235,77,172,142,52,232,0,239,186,253,330,131,179,182,176,175,249,108,38,320,107,249,176,174
olegoleg8,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,155,145,147,244,71,150,154,67,191,126,250,89,195,330,127,179,182,176,175,249,108,38,322,107,249,176,174
olegoleg8,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,155,145,147,242,94,148,57,86,231,39,300,86,91,288,119,179,182,176,175,249,108,38,322,107,249,176,174
olegoleg8,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,155,146,147,240,123,208,41,123,256,0,239,70,106,286,131,179,182,176,175,249,108,38,322,107,249,176,174
olegoleg9,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,168,144,137,240,79,208,102,103,242,0,157,73,215,285,131,179,182,176,175,249,108,38,322,107,249,176,174
olegoleg9,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,147,145,161,239,90,205,167,78,240,151,245,88,252,283,109,179,182,176,175,249,108,38,322,107,249,176,174
